;_id;available;connected;estation;free;open;ticket;total;;
99;5c605be225541729b7d508e6;9;1;125;6;1;0;15;;
100;5c605be225541729b7d508e7;19;1;126;1;1;0;20;;
101;5c605be225541729b7d508e8;20;1;127;0;1;0;20;;
102;5c605be225541729b7d508e9;4;1;128;21;1;1;25;;
103;5c605be225541729b7d508ea;16;1;129;4;1;1;20;;
104;5c605be225541729b7d508eb;5;1;130;10;1;0;15;;
105;5c605be225541729b7d508ec;6;1;131;13;1;1;20;;
106;5c605be225541729b7d508ed;8;1;132;7;1;0;15;;
107;5c605be225541729b7d508ee;6;1;133;9;1;0;15;;
108;5c605be225541729b7d508ef;2;1;134;18;1;0;20;;
109;5c605be225541729b7d508f0;1;1;135;19;1;1;20;;
110;5c605be225541729b7d508f1;5;1;139;10;1;0;15;;
111;5c605be225541729b7d508f2;20;1;141;0;1;1;20;;
112;5c605be225541729b7d508f3;21;1;142;3;1;0;25;;
113;5c605be225541729b7d508f4;21;1;143;8;1;1;30;;
114;5c605be225541729b7d508f5;2;1;146;24;1;1;26;;
115;5c605be225541729b7d508f6;8;1;149;11;1;0;20;;
116;5c605be225541729b7d508f7;1;1;152;14;1;1;15;;
117;5c605be225541729b7d508f8;6;1;153;16;1;1;24;;
118;5c605be225541729b7d508f9;6;1;155;13;1;0;20;;
119;5c605be225541729b7d508fa;12;1;156;2;1;0;15;;
120;5c605be225541729b7d508fb;19;1;29;1;1;1;20;;
121;5c605be225541729b7d508fc;19;1;9;6;1;1;25;;
122;5c605be225541729b7d508fd;6;1;13;18;1;1;24;;
123;5c605be225541729b7d508fe;10;1;14;10;1;1;20;;
124;5c605be225541729b7d508ff;11;1;15;23;1;1;34;;
125;5c605be225541729b7d50900;11;1;16;9;1;1;20;;
126;5c605be225541729b7d50901;17;1;18;7;1;1;24;;
127;5c605be225541729b7d50902;9;1;28;16;1;0;25;;
128;5c605be225541729b7d50903;21;1;148;14;1;1;36;;
129;5c605be225541729b7d50904;0;1;17;0;1;1;40;;
130;5c605be225541729b7d50905;5;1;30;15;1;0;20;;
131;5c605be225541729b7d50906;7;1;11;20;1;1;27;;
132;5c605be225541729b7d50907;13;1;5;2;1;1;15;;
133;5c605be225541729b7d50908;4;1;6;11;1;1;15;;
134;5c605be225541729b7d50909;9;1;36;16;1;0;25;;
135;5c605be225541729b7d5090a;16;1;1;9;1;1;25;;
136;5c605be225541729b7d5090b;2;1;2;13;1;0;15;;
137;5c605be225541729b7d5090c;3;1;7;15;1;1;20;;
138;5c605be225541729b7d5090d;0;1;10;15;1;1;15;;
139;5c605be225541729b7d5090e;3;1;82;12;1;0;15;;
140;5c605be225541729b7d5090f;0;1;147;12;1;0;15;;
141;5c605be225541729b7d50910;3;1;20;13;1;1;16;;
142;5c605be225541729b7d50911;0;1;3;20;1;1;20;;
143;5c605be225541729b7d50912;13;1;4;12;1;1;25;;
144;5c605be225541729b7d50913;8;1;8;14;1;1;23;;
145;5c605be225541729b7d50914;20;1;58;0;1;1;20;;
146;5c605be225541729b7d50915;4;1;33;16;1;1;20;;
147;5c605be225541729b7d50916;1;1;110;29;1;0;30;;
148;5c605be225541729b7d50917;3;1;111;27;1;0;30;;
149;5c605be225541729b7d50918;12;1;113;26;1;1;38;;
150;5c605be225541729b7d50919;2;1;114;28;1;0;30;;
151;5c605be225541729b7d5091a;3;1;19;12;1;0;15;;
152;5c605be225541729b7d5091b;4;1;21;12;1;1;16;;
153;5c605be225541729b7d5091c;9;1;22;6;1;0;15;;
154;5c605be225541729b7d5091d;1;1;23;18;1;1;19;;
155;5c605be225541729b7d5091e;3;1;24;17;1;1;20;;
156;5c605be225541729b7d5091f;1;1;25;21;1;1;23;;
157;5c605be225541729b7d50920;2;1;26;13;1;0;15;;
158;5c605be225541729b7d50921;4;1;27;16;1;0;20;;
159;5c605be225541729b7d50922;2;1;136;18;1;0;20;;
160;5c605be225541729b7d50923;0;1;137;20;1;1;20;;
161;5c605be225541729b7d50924;1;1;138;18;1;0;20;;
162;5c605be225541729b7d50925;0;1;140;20;1;0;20;;
163;5c605be225541729b7d50926;3;1;144;11;1;0;15;;
164;5c605be225541729b7d50927;6;1;145;9;1;0;15;;
165;5c605be225541729b7d50928;7;1;157;13;1;1;20;;
166;5c605be225541729b7d50929;5;1;172;15;1;1;20;;
167;5c605be225541729b7d5092a;1;1;173;19;1;0;20;;
168;5c605be225541729b7d5092b;6;1;174;13;1;1;19;;
169;5c605be225541729b7d5092c;5;1;175;10;1;1;15;;
170;5c605be225541729b7d5092d;19;1;176;1;1;0;20;;
171;5c605be225541729b7d5092e;11;1;177;3;1;1;15;;
172;5c605be225541729b7d5092f;10;1;178;10;1;0;20;;
173;5c605be225541729b7d50930;3;1;179;20;1;0;23;;
174;5c605be225541729b7d50931;12;1;180;8;1;1;20;;
175;5c605be225541729b7d50932;1;1;181;14;1;1;15;;
176;5c605be225541729b7d50933;8;1;12;11;1;1;20;;
177;5c605be225541729b7d50934;9;1;194;31;1;1;40;;
178;5c605be225541729b7d50935;2;1;195;14;1;0;16;;
179;5c605be225541729b7d50936;3;1;196;12;1;1;15;;
180;5c605be225541729b7d50937;8;1;202;11;1;1;20;;
181;5c605be225541729b7d50938;1;1;203;14;1;0;15;;
182;5c605be225541729b7d50939;2;1;204;18;1;1;20;;
183;5c605be225541729b7d5093a;3;1;205;21;1;1;24;;
184;5c605be225541729b7d5093b;10;1;206;5;1;0;15;;
185;5c605be225541729b7d5093c;5;1;183;12;1;1;18;;
186;5c605be225541729b7d5093d;13;1;185;2;1;0;15;;
187;5c605be225541729b7d5093e;10;1;184;4;1;0;15;;
188;5c605be225541729b7d5093f;0;1;186;14;1;0;14;;
189;5c605be225541729b7d50940;9;1;187;6;1;1;15;;
190;5c605be225541729b7d50941;4;1;188;36;1;0;40;;
191;5c605be225541729b7d50942;17;1;189;13;1;1;30;;
192;5c605be225541729b7d50943;15;1;190;3;1;1;18;;
193;5c605be225541729b7d50944;9;1;191;6;1;0;15;;
